Source IP,Destination IP,Protocol,Port,Size,Time
10.10.10.10,8.8.5.205,UDP,68,2189,2025-05-07 22:07:12
192.168.1.32,1.1.1.36,TCP,53,4400,2025-05-07 00:50:33
10.10.10.10,8.8.5.152,UDP,57516,5296,2025-05-02 00:49:25
10.10.10.10,8.8.7.161,TCP,48006,6487,2025-05-02 20:22:35
192.168.1.159,172.217.20.131,TCP,80,2763,2025-05-05 18:48:16
192.168.1.152,1.1.1.17,UDP,60704,829,2025-05-05 00:33:25
192.168.1.221,172.217.33.233,UDP,67,735,2025-05-07 06:25:38
192.168.1.213,172.217.63.8,UDP,25551,74,2025-05-06 19:02:11
192.168.1.164,172.217.251.222,UDP,13626,240,2025-05-01 07:03:40
10.10.10.10,172.217.75.246,UDP,69,2050,2025-05-07 15:28:03
192.168.1.8,172.217.247.254,UDP,53,448,2025-05-07 07:00:23
10.10.10.11,8.8.5.58,UDP,53,6653,2025-05-05 00:55:21
10.10.10.11,1.1.1.215,TCP,3389,5027,2025-05-05 02:13:17
192.168.1.223,172.217.54.146,TCP,110,4716,2025-05-05 05:52:29
192.168.1.97,8.8.8.60,TCP,8080,1558,2025-05-07 05:45:11
192.168.1.87,172.217.188.90,TCP,80,1413,2025-05-01 08:08:49
192.168.1.219,172.217.149.108,TCP,110,1601,2025-05-04 23:12:33
10.10.10.11,8.8.5.110,TCP,20,6327,2025-05-01 15:16:01
10.10.10.11,8.8.5.75,TCP,25,6291,2025-05-05 09:20:41
192.168.1.97,172.217.245.19,TCP,25,2154,2025-05-03 01:35:01
192.168.1.227,1.1.1.167,TCP,143,4022,2025-05-07 00:20:47
10.10.10.10,8.8.5.83,UDP,52045,2779,2025-05-01 07:28:11
10.10.10.10,172.217.18.147,UDP,65034,6124,2025-05-02 07:54:16
10.10.10.10,172.217.187.3,UDP,53,6032,2025-05-06 13:11:37
192.168.1.56,8.8.6.232,TCP,25,1798,2025-05-02 17:41:55
192.168.1.217,1.1.1.120,TCP,443,3519,2025-05-04 01:14:03
10.10.10.10,8.8.8.76,TCP,20,8389,2025-05-02 22:07:30
192.168.1.2,8.8.8.110,TCP,22,4957,2025-05-01 00:03:13
10.10.10.10,172.217.61.27,UDP,2446,2889,2025-05-01 12:59:21
192.168.1.9,8.8.8.20,TCP,53,3769,2025-05-03 17:55:36
192.168.1.207,172.217.206.159,UDP,68,1361,2025-05-04 16:12:23
192.168.1.41,8.8.7.110,UDP,53,277,2025-05-01 10:22:09
10.10.10.10,1.1.1.142,TCP,27346,5166,2025-05-05 17:44:24
10.10.10.11,8.8.7.110,TCP,3389,5989,2025-05-07 11:26:30
192.168.1.71,172.217.25.153,ICMP,0,384,2025-05-02 21:08:40
10.10.10.11,172.217.33.130,UDP,161,8126,2025-05-01 18:42:31
192.168.1.89,1.1.1.169,TCP,8080,3880,2025-05-01 04:46:55
10.10.10.11,172.217.18.147,TCP,22,8386,2025-05-01 04:52:36
10.10.10.10,8.8.4.235,TCP,22,1938,2025-05-03 11:23:15
10.10.10.11,1.1.1.162,UDP,1194,1585,2025-05-02 17:14:01
192.168.1.63,1.1.1.207,TCP,443,2141,2025-05-02 01:27:11
192.168.1.9,172.217.213.113,TCP,23,1129,2025-05-06 14:24:23
10.10.10.11,8.8.5.79,TCP,80,3470,2025-05-01 05:52:37
10.10.10.11,8.8.5.30,UDP,500,8059,2025-05-07 20:10:58
10.10.10.10,8.8.7.123,UDP,500,3908,2025-05-07 04:37:35
10.10.10.10,172.217.48.158,UDP,161,7116,2025-05-07 22:18:34
192.168.1.152,8.8.5.58,TCP,28117,3553,2025-05-06 13:37:17
10.10.10.11,172.217.72.245,UDP,53,1918,2025-05-06 13:22:07
